name,smiles,peaks,solvent,freq,source
nmrshiftdb_2373,COc1cc(OC2OC(CO)C(O)C(O)C2OC2OCC(O)(CO)C2O)ccc1O,"152.70,149.60,142.70,115.90,111.00,109.40,103.30,102.20,80.00,78.80,78.00,77.70,75.30,71.40,65.70,62.20,56.00",Methanol-d4,100.0,nmrshiftdb2:2373
nmrshiftdb_2203,O=C(O)CN1CSC(=S)N(Cc2ccco2)C1,"191.60,170.40,148.70,143.00,110.60,109.70,69.00,58.50,50.40,46.60",DMSO-d6,75.0,nmrshiftdb2:2203
nmrshiftdb_2244,CC(C)OC(=O)C1CC2ON(C)C3(C)CN(CC23)S1(=O)=O,"165.06,75.87,73.31,69.68,63.05,55.69,49.71,38.80,27.38,21.18,21.10,18.51",Benzene-D6 (C6D6),100.0,nmrshiftdb2:2244
nmrshiftdb_2423,Cc1ccc(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)c2c1COC2=O,"173.90,154.30,149.80,139.10,127.80,115.70,113.50,104.80,100.80,76.80,76.70,73.70,73.60,71.80,71.20,70.50,69.50,69.40,67.30,16.80",Methanol-d4,125.0,nmrshiftdb2:2423
nmrshiftdb_2291,COc1cc2c(=O)c3c(OC)c(OC)c(OC)cc3oc2cc1OC1OC(CO)C(O)C(O)C1O,"173.00,158.20,154.10,152.60,152.10,150.10,146.50,139.10,115.40,109.20,105.70,102.70,99.70,96.70,77.20,76.70,73.10,69.60,61.80,61.10,60.70,56.50,55.90",DMSO-d6,125.0,nmrshiftdb2:2291
nmrshiftdb_2277,CC1(O)CCC23CC1CC2CCC1C(C)(C)C(O)C(O)CC13C,"83.50,72.20,68.50,50.10,46.90,46.00,42.30,39.20,39.00,37.80,36.70,36.50,32.60,30.80,29.90,28.00,27.50,21.90,19.60,17.50",Chloroform-d,50.0,nmrshiftdb2:2277
nmrshiftdb_2494,CCC=CC#CC(=O)c1ccc(C=CC(=O)OC)o1,"166.59,166.04,153.95,153.54,153.21,131.28,120.75,119.88,114.25,110.32,90.66,85.85,51.43,21.36,13.37",Chloroform-d,23.0,nmrshiftdb2:2494
nmrshiftdb_2240,O=C1C(O)=Cc2cccc3ccc(-c4ccccc4)c1c23,"180.42,150.79,145.32,143.55,132.74,132.68,132.49,131.07,131.06,128.63,128.42,128.20,127.82,126.90,125.94,124.49,114.19",Acetone-D6 ((CD3)2CO),125.0,nmrshiftdb2:2240
nmrshiftdb_2459,CC1CCC2C(C)C(O)CC3C(C12)C3(C)C,"75.70,50.00,43.00,41.40,37.90,30.80,29.40,28.70,25.60,23.20,20.60,17.90,16.30,15.86",Chloroform-d,50.0,nmrshiftdb2:2459
nmrshiftdb_2458,COc1cc(C2c3c(cc4c(c3OC)OCO4)C(OC(C)=O)C3COC(=O)C23)cc(OC)c1OC,"176.32,170.12,153.42,149.50,142.62,138.55,137.04,136.77,130.71,122.45,105.82,101.82,101.49,72.99,70.96,60.69,59.36,56.21,43.58,41.87,34.71,20.86",Chloroform-d,125.0,nmrshiftdb2:2458
nmrshiftdb_2276,O=C(C=C1C=CC(=O)O1)COC(=O)c1ccccc1,"191.49,172.90,167.94,165.69,142.35,133.31,129.63,129.33,128.63,123.73,111.99,67.88",Chloroform-d,75.0,nmrshiftdb2:2276
nmrshiftdb_2198,C1=CC(c2ccccc2)(c2ccccc2)Oc2ccc3c([nH]c4ccccc43)c21,"151.20,144.80,139.40,136.20,128.10,128.00,127.40,127.00,124.70,123.80,121.00,119.80,119.50,118.20,118.00,110.50,109.80,104.90,82.50",Chloroform-d,75.0,nmrshiftdb2:2198
nmrshiftdb_2409,CC(C=CC1(O)C(CO)=CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O,"197.20,167.00,131.60,131.30,121.20,100.00,77.10,76.90,73.30,72.00,70.00,61.10,59.10,49.30,41.30,23.60,23.00,22.10",DMSO-d6,150.0,nmrshiftdb2:2409
nmrshiftdb_2434,O=C1OC(O)c2cc(O)c3c4c(ccc1c24)-c1ccccc1O3,"163.40,153.30,140.70,137.50,132.60,132.40,129.00,125.30,124.80,123.30,122.00,120.50,119.20,119.10,118.90,118.40,115.40,97.00",Acetone-D6 ((CD3)2CO),125.0,nmrshiftdb2:2434
nmrshiftdb_2265,COc1ccc(-c2coc3cc4c(c(OC)c3c2=O)C=CC(C)(C)O4)c(O)c1,"176.45,162.45,159.05,157.59,157.40,157.14,155.67,131.69,130.95,120.78,116.25,113.60,113.25,112.55,106.75,103.48,100.89,77.80,62.90,55.59,29.40,27.40",Acetone-D6 ((CD3)2CO),75.0,nmrshiftdb2:2265
nmrshiftdb_2377,C=CC(CCCCCO)OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,"140.52,115.85,105.53,104.70,81.87,78.00,77.70,76.57,75.10,71.47,71.23,69.40,66.93,62.90,35.93,32.95,25.98,25.40",Methanol-d4,100.0,nmrshiftdb2:2377
nmrshiftdb_2342,N#CC1(OC2OC(CO)C(O)C(O)C2O)CCC(O)C1O,"119.10,102.10,84.90,84.60,78.20,77.90,76.50,75.00,71.20,62.40,35.20,30.10",Methanol-d4,100.0,nmrshiftdb2:2342
nmrshiftdb_2297,CC(=O)C=CC12OC1(C)CC(O)CC2(C)C,"197.50,142.40,132.70,69.60,67.30,63.53,46.70,40.70,35.20,28.40,27.25,19.90",Chloroform-d,100.0,nmrshiftdb2:2297
nmrshiftdb_2353,Cc1cc2c(C(C)C)c(O)cc(C)c2oc1=O,"162.50,151.86,146.86,139.37,128.51,125.09,124.52,124.31,119.64,27.50,20.92,17.21,15.99",Chloroform-d,125.0,nmrshiftdb2:2353
nmrshiftdb_2341,CC(=O)c1occ2c1C(=O)c1c(O)cccc1C2=O,"195.78,185.85,176.85,162.13,157.45,147.17,137.08,134.80,132.55,124.31,121.70,119.67,117.22,27.09",Chloroform-d,125.0,nmrshiftdb2:2341
nmrshiftdb_2327,CCC1OC2CC(C=C=CBr)OC2CC=CCC1Br,"201.35,129.30,127.30,101.70,84.40,79.75,74.50,73.35,72.75,52.80,39.10,34.70,29.42,23.20,11.40",Chloroform-d,100.0,nmrshiftdb2:2327
nmrshiftdb_2339,COC(=O)c1cc(OC)c(OC)c(OC)c1-c1c(C(=O)OC)cc2nc3ccccc3nc2c1OC,"167.10,166.90,153.70,152.20,146.60,144.50,143.90,143.80,140.40,135.50,132.40,132.00,130.80,130.50,130.30,127.60,126.90,125.70,110.00,62.50,61.00,60.90,56.40,52.50,51.90",Acetone-D6 ((CD3)2CO),126.0,nmrshiftdb2:2339
nmrshiftdb_2410,C=C1CCC(C(C)C)C2C=C(C)C(=O)CC12,"199.50,149.70,149.20,134.90,109.00,43.80,43.00,40.70,40.10,30.50,27.50,25.40,21.40,16.30,16.00",Chloroform-d,50.0,nmrshiftdb2:2410
nmrshiftdb_2255,O=S1(=O)C2=C(CCCC2)C(OO)N1c1c(Cl)cccc1Cl,"140.00,139.60,137.60,131.70,130.40,129.70,93.90,23.50,21.50,21.40,19.50",Acetone-D6 ((CD3)2CO),100.0,nmrshiftdb2:2255
nmrshiftdb_234,CC1(C)CCCC2(C)C1CC=C(C=O)C2(O)C=O,"203.00,193.40,158.30,140.99,78.34,42.20,42.00,41.80,33.50,31.70,26.50,22.60,18.30,17.60",Chloroform-d,50.0,nmrshiftdb2:234
nmrshiftdb_2435,CC1C(CO)C2CC3c4[nH]c5ccccc5c4CC(C2CO)N31,"139.30,137.80,128.50,121.30,119.30,118.50,111.90,105.00,63.00,62.90,57.50,53.40,49.70,43.90,40.20,29.80,27.70,27.40,18.60",Pyridin-D5 (C5D5N),100.0,nmrshiftdb2:2435
nmrshiftdb_2491,COc1cc(C2Oc3ccc4ccc(=O)oc4c3OC2CO)cc(OC)c1O,"159.90,147.95,146.80,144.90,143.20,136.10,131.10,125.80,119.80,113.50,113.40,112.80,105.45,78.10,76.80,59.90,56.15",DMSO-d6,100.0,nmrshiftdb2:2491
nmrshiftdb_2208,O=C1OC2C(O)C(O)C(CO)OC2N1c1ccccc1O,"154.50,143.20,129.50,124.10,123.10,111.50,109.80,84.70,80.20,77.80,70.20,70.00,61.70",Methanol-d4,150.92,nmrshiftdb2:2208
nmrshiftdb_2305,CC(=O)OCC1(C)C(=O)CCC2(C)C1CCC1(C)C2CCC2C=CC(O)C21C,"213.60,171.00,135.95,134.20,81.06,69.01,57.55,54.87,54.70,52.16,49.95,40.29,38.96,37.95,37.34,34.60,27.42,21.99,20.22,19.50,18.69,17.89,16.58,16.30",Chloroform-d,100.0,nmrshiftdb2:2305
nmrshiftdb_2338,COc1c(OS(=O)(=O)[O-])cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c1O,"178.40,156.30,152.90,152.00,150.40,149.50,145.60,137.60,133.30,120.80,120.40,116.10,115.20,106.60,97.90,60.30,59.60",DMSO-d6,50.0,nmrshiftdb2:2338
nmrshiftdb_2246,CCOP(=O)([O-])C([NH2+]c1ccccc1)c1ccccc1,"147.56,138.08,128.73,128.38,127.96,127.08,116.72,113.49,61.77,54.82,16.48",DMSO-d6,90.56,nmrshiftdb2:2246
nmrshiftdb_2427,CC(=O)OC12CC=C(C)C(=O)CC13CCC2C(C)(C=CC=C(C)C(=O)O)OC3=O,"201.10,173.80,170.20,169.80,144.50,141.30,137.30,130.30,129.30,122.50,88.20,84.80,55.20,49.30,44.10,33.59,33.40,28.10,25.50,21.40,20.50,12.80",Acetone-D6 ((CD3)2CO),100.0,nmrshiftdb2:2427
nmrshiftdb_2464,CC1CC(O)C2(O)C1C1C(CC(O)C2(C)O)C1(C)C,"69.40,65.50,61.90,58.30,38.40,33.30,29.90,29.80,28.20,25.50,23.50,22.70,19.10,15.30,14.30",Chloroform-d,50.0,nmrshiftdb2:2464
nmrshiftdb_2393,COc1cc(C2OC(=O)C3C(c4ccc(O)c(O)c4)OCC23)cc(OC)c1O,"182.40,152.30,149.20,148.90,143.40,139.80,136.00,121.00,119.00,115.81,107.00,89.90,87.80,76.40,59.60,57.00,53.90",Methanol-d4,100.0,nmrshiftdb2:2393
nmrshiftdb_2303,N#CC(OC1OC(COC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O)c1ccccc1,"167.10,146.00,138.90,134.40,130.50,129.80,128.50,121.40,118.80,109.80,101.90,77.40,75.30,74.20,70.80,68.20,64.30",Acetone-D6 ((CD3)2CO) + Deuteriumoxide (D2O),126.0,nmrshiftdb2:2303
nmrshiftdb_2361,O=CC1=C(Cc2ccccc2)CN(O)C=C1,"189.49,146.38,137.54,129.35,128.73,128.61,127.03,126.63,99.44,53.64,37.86",Chloroform-d,125.0,nmrshiftdb2:2361
nmrshiftdb_2212,Cn1cnc(SSc2ncn(C)c2CC(N)C(=O)O)c1CC(N)C(=O)O,"173.00,141.00,133.80,131.00,54.10,32.70,24.80",Deuteriumoxide (D2O),125.0,nmrshiftdb2:2212
nmrshiftdb_2206,CC(=O)NC1C(NC(=O)CN)OC(CO)C(O)C1O,"175.85,170.74,78.86,77.92,74.10,69.70,60.68,54.44,42.21,22.09",Deuteriumoxide (D2O),75.5,nmrshiftdb2:2206
nmrshiftdb_2465,CC(=O)Oc1c(O)c(C(C)C)c(O)c2c1C1(C)CCCC(C)(C)C1=C(O)C2=O,"182.30,169.70,160.10,152.80,143.30,142.00,141.67,129.40,120.40,106.00,41.10,36.70,36.40,32.30,29.88,28.57,25.08,24.50,21.30,20.00,18.60",Chloroform-d,100.4,nmrshiftdb2:2465
nmrshiftdb_2414,COc1ccc2c(c1C)CCC1(C)C3CCC21OC1(OC(C)(C)C(C)C1O)C3C,"156.78,135.02,134.62,125.60,123.18,108.07,107.37,87.01,85.94,83.97,55.74,53.10,43.95,41.74,35.47,34.90,28.91,28.38,26.74,26.30,24.65,19.29,16.55,10.95,5.43",Chloroform-d,100.0,nmrshiftdb2:2414
nmrshiftdb_2467,O=c1cc(-c2ccccc2)oc2cc(O)c(CC=Cc3ccccc3)c(O)c12,"181.70,162.70,162.10,158.60,155.40,137.10,131.50,130.70,129.40,128.80,128.20,127.50,126.50,126.10,125.50,109.30,105.00,103.70,93.20,25.10",DMSO-d6,100.0,nmrshiftdb2:2467
nmrshiftdb_2283,CC(C)=CCC1=C(OC(=O)C(C)C)C(=O)C2=C(C1=O)C1CC(C)(CCC1C(C)(C)O)O2,"187.30,174.70,174.30,150.00,146.80,135.80,134.90,119.60,118.60,80.00,71.70,53.00,39.60,37.40,34.00,30.10,27.50,26.40,25.80,25.40,23.40,21.80,18.90,18.00",Chloroform-d,100.0,nmrshiftdb2:2283
nmrshiftdb_2310,CC(=O)OC1C=CC(O)C(O)(COC(=O)c2ccccc2)C1O,"171.13,165.00,133.50,130.08,129.90,128.50,126.80,75.96,72.90,70.88,68.75,66.70,21.20",Chloroform-d,75.0,nmrshiftdb2:2310
nmrshiftdb_2444,O=C(c1c[nH]c2ccc(O)cc12)c1nccc2c1[nH]c1ccc(O)cc12,"190.20,154.70,152.90,139.40,137.60,136.97,136.67,136.32,132.80,132.60,130.20,122.90,120.10,118.80,116.40,114.20,114.10,113.60,108.30,107.10",Methanol-d4,150.0,nmrshiftdb2:2444
nmrshiftdb_2258,C=C(C)C(=O)OC1CC(C)=C2C(=O)C=C(C)C2C2OC(=O)C(=C)C12,"195.30,169.30,168.30,166.40,146.50,136.00,135.70,134.30,132.60,127.00,120.70,79.10,64.80,55.50,53.10,41.00,23.00,19.80,18.10",Chloroform-d,100.0,nmrshiftdb2:2258
nmrshiftdb_2340,CC1C=C2C=CC(C)(O)C(C)(C(=O)CCO)C2C(O)C1,"215.00,133.70,133.00,131.50,128.30,73.80,66.10,58.80,58.00,44.00,42.20,39.60,25.70,25.30,20.40,13.60",Acetone-D6 ((CD3)2CO),126.0,nmrshiftdb2:2340
nmrshiftdb_2304,CC(C)=CCC1C(C)=CCC(c2ccccc2)C1C(=O)c1c(O)cc(O)cc1O,"207.59,165.00,148.20,137.47,132.70,129.00,128.10,126.30,123.50,122.28,107.60,95.70,54.81,46.00,37.95,36.80,29.80,23.28,20.21,19.88",Acetone-D6 ((CD3)2CO),75.0,nmrshiftdb2:2304
nmrshiftdb_2267,C=C1C(=O)OC2C1C(O)CC(C)(O)C13OC1C(O)C(C)(O)C23,"169.60,139.80,119.20,83.40,76.40,72.30,70.60,68.40,66.10,62.90,57.30,51.40,36.30,26.20,21.60",DMSO-d6,125.0,nmrshiftdb2:2267
nmrshiftdb_2495,COC(=O)CC1c2c(cc(O)c(O)c2O)C(=O)c2cc(O)c(O)c(O)c21,"182.97,174.92,147.25,145.61,140.39,125.49,122.08,110.10,51.38,39.14,32.49",DMSO-d6,50.0,nmrshiftdb2:2495
nmrshiftdb_2311,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCC1,"164.90,147.40,138.31,135.70,130.70,126.80,124.10,123.50,109.30,108.30,101.13,46.41,45.93,25.84,24.27",Chloroform-d,50.0,nmrshiftdb2:2311
nmrshiftdb_2367,COC1OC(=O)C(CO)C2CC=C(CO)C12,"172.40,144.80,128.70,98.70,62.30,61.40,51.60,50.70,40.90,40.50,30.90",Chloroform-d,100.58,nmrshiftdb2:2367
nmrshiftdb_2346,COc1cccc2cc(C)c(-c3ccc4c(c3O)C(C)NC(C)C4)c(O)c12,"156.45,153.12,150.48,136.43,136.21,135.89,129.33,127.52,126.54,124.94,121.20,120.18,120.06,119.89,113.84,103.57,56.10,48.71,43.09,37.71,22.14,20.82,20.44",Chloroform-d,150.0,nmrshiftdb2:2346
nmrshiftdb_2390,CC(C)C1=C2C3C4CC4(C)C(=O)CC3(C)CCC2(C)CC1,"210.60,139.10,136.40,51.80,49.60,47.20,44.00,38.00,36.90,35.70,30.20,29.10,28.80,28.70,27.30,24.30,21.90,21.70,19.80,17.60",Chloroform-d,125.0,nmrshiftdb2:2390
nmrshiftdb_2405,C=C1C(=O)OC23C=C(C)CCC2C(C)CCC13,"169.82,140.21,138.86,121.09,120.29,84.10,49.50,48.45,33.70,31.53,29.71,23.71,22.27,21.43,19.27",Chloroform-d,125.0,nmrshiftdb2:2405
nmrshiftdb_2241,Oc1ccc(C=Cc2cc(O)c3c(-c4cc(O)cc(O)c4)c(-c4ccc(O)cc4)oc3c2)cc1,"158.00,157.60,157.50,155.10,151.80,149.08,135.40,135.00,128.48,127.80,127.70,126.92,121.20,117.70,115.62,115.50,115.40,108.60,106.40,101.80,100.06",Acetone-D6 ((CD3)2CO),125.75,nmrshiftdb2:2241
nmrshiftdb_2210,CC1CC2OC34CC(O)CC(C15CC(c1ccoc1)OC5=O)C23COC4=O,"178.10,177.10,144.80,140.00,126.60,108.80,83.70,82.10,72.60,70.60,63.80,46.80,43.10,41.00,38.40,37.00,36.30,31.70,30.50,18.30",Pyridin-D5 (C5D5N),125.7,nmrshiftdb2:2210
nmrshiftdb_2403,C#CC=CCC1OC(C(Br)CC)CC(OC(C)=O)C(Cl)CC1Cl,"170.00,139.20,111.80,82.80,79.80,75.60,73.40,72.70,62.50,61.30,56.80,42.30,35.20,31.90,29.20,21.00,12.20",Chloroform-d,100.0,nmrshiftdb2:2403
nmrshiftdb_2374,CC=C(C)C(=O)OC1CC(C)(O)C2=C(C3OC(=O)C(C)C13)C(C)(O)CC2O,"178.10,167.10,147.70,143.80,139.70,128.70,82.70,76.80,74.40,73.70,71.20,54.80,51.00,46.80,41.20,29.60,28.20,20.70,15.90,15.30",Acetone-D6 ((CD3)2CO),100.0,nmrshiftdb2:2374
nmrshiftdb_2463,CC1=C2C(O)CC(C)C2C2C(CC1O)C2(C)C,"145.90,132.80,74.40,73.90,42.00,39.70,33.40,30.20,29.90,28.20,23.00,18.80,18.10,15.90,15.20",Chloroform-d,50.0,nmrshiftdb2:2463
nmrshiftdb_2281,COc1c(O)c2c(c(O)c1C(C)C)C(=O)CC1C2(C)CCC(O)C1(C)C,"206.60,158.10,155.50,141.40,138.30,126.80,113.10,77.40,61.30,49.70,40.90,39.80,36.20,35.70,29.10,28.50,26.10,21.10,17.90,16.30",Pyridin-D5 (C5D5N),75.0,nmrshiftdb2:2281
nmrshiftdb_2309,CC(C=CC(C)O)=CC(=O)NCC(C)(C)C(=O)C(C)(C)CNC(=O)C=C(C)C=CC(C)O,"218.20,169.43,148.53,142.65,128.16,117.73,66.90,48.51,46.95,23.94,23.71,17.85",Chloroform-d,125.0,nmrshiftdb2:2309
